0	1
0	2
0	4519
0	33971
0	75503
0	120044
0	123880
0	124002
0	206567
0	274042
0	369692
0	413808
1	2
1	7741
1	7852
1	7979
1	8085
1	8086
1	10971
1	12238
1	13419
1	13811
1	14662
1	15004
1	15432
1	16408
1	16803
1	17411
1	21502
1	27021
1	27466
1	33126
1	33762
1	35156
1	40548
1	44446
1	44725
1	46588
1	47489
1	49063
1	49144
1	56260
1	58164
1	58212
1	66668
1	67191
1	75213
1	77551
1	81806
1	83059
1	85126
1	90680
1	92739
1	92740
1	93377
1	95874
1	97758
1	113230
1	166307
1	198462
1	253221
2	6786
2	16803
2	23595
2	33126
2	65297
2	75213
2	75503
2	79494
2	84203
2	97758
2	139006
3	10816
3	15821
3	18373
3	21946
3	22531
3	22955
3	34140
3	56565
3	58183
3	59273
3	71407
3	117331
61	80747
61	114328
61	304290
83	25458
83	40922
83	60078
83	100446
83	109031
83	124987
96	138
96	7656
96	55032
99	6734
99	19158
99	31299
99	31301
99	32740
99	37349
138	407
138	426
138	8880
138	11505
138	16455
255	111349
255	114471
255	120232
255	123450
255	172151
255	368588
269	750
269	2675
269	4059
269	5295
269	6336
269	6734
269	7433
269	7494
269	8479
269	9210
269	10095
269	10510
269	13034
269	14753
269	19134
269	19521
269	20551
269	20623
269	21592
269	21656
269	26600
269	26601
269	29313
269	30877
269	32476
269	35917
269	36550
269	58209
269	103809
269	111566
269	218773
269	298239
368	34801
368	44696
368	47013
368	123282
368	146828
395	13529
395	24339
395	83146
395	187258
395	240115
407	2275
407	2566
407	6337
407	7207
407	8511
407	11505
421	6010
421	13341
426	5542
426	6533
426	9337
426	11648
426	19998
426	20815
426	34140
426	43672
426	53147
426	55338
426	63551
426	76521
426	117631
426	143459
442	1175
442	1729
442	1851
442	1905
442	2577
442	3966
442	5295
442	5475
442	6735
442	6779
442	6822
442	6999
442	7554
442	14168
442	23096
442	25114
442	26626
442	27004
442	40969
529	6533
529	8720
529	8889
529	11349
529	12405
529	13637
529	18075
529	43227
529	66368
541	117957
635	1574
635	1869
635	2577
635	4119
635	6148
635	8710
635	8838
635	9225
635	10587
635	16305
635	16555
635	16693
635	22903
635	34140
635	37335
635	41859
635	42398
635	60078
635	64379
676	820
676	69865
710	123037
710	123038
710	144262
750	2230
750	3043
750	3592
750	3966
750	4059
750	4819
750	4961
750	5295
750	5930
750	7433
750	7796
750	8005
750	8607
750	8947
750	9210
750	10095
750	10510
750	13560
750	14753
750	20517
750	21502
750	32387
750	32476
750	33605
750	33714
750	33829
750	40443
750	50034
750	52235
750	58209
750	72382
750	86975
750	87026
750	96228
750	110899
750	123508
750	124005
750	145972
750	148942
750	160086
750	176443
764	2215
764	3374
764	22943
764	29903
820	13855
820	19522
864	4766
864	13012
864	16093
864	16832
864	18656
864	20177
864	26766
864	29371
864	29382
864	35311
864	49702
880	1945
880	10064
880	15344
880	17411
880	18656
880	21835
880	26192
880	38842
880	43227
880	51230
880	66305
880	78484
880	100442
880	102603
880	267073
880	344675
915	4477
915	4708
915	6055
915	6295
915	10629
915	13034
915	14430
915	16693
915	24935
915	30127
915	46395
915	49853
915	64557
915	66657
915	88879
915	106256
915	128661
915	136214
915	138447
915	184606
915	190421
915	200098
915	200808
915	312238
930	3813
930	6641
930	7166
930	9066
930	11648
930	13577
930	16870
930	18893
930	19303
930	23242
930	26070
930	26424
930	26896
930	28357
930	28905
930	36236
930	50379
930	93888
930	118553
930	148571
930	179653
1058	2962
1058	14096
1058	27221
1058	50153
1058	51186
1058	51187
1058	154850
1138	61945
1138	150242
1175	6779
1191	6232
1191	65249
1191	71993
1191	84691
1191	85182
1191	91457
1220	6613
1220	21049
1220	26258
1220	39090
1220	64530
1220	92216
1220	147394
1324	5721
1324	34053
1324	50034
1324	73418
1324	74728
1324	83897
1324	93511
1339	26791
1339	57337
1339	57443
1339	79187
1339	151791
1379	124941
1379	205456
1379	223790
1442	3237
1442	3352
1442	9820
1442	10516
1442	11457
1442	15348
1442	17336
1442	19114
1442	25388
1442	26153
1442	27433
1442	29515
1442	30925
1442	31470
1442	33403
1442	34877
1442	35249
1442	36459
1442	36799
1442	38700
1442	38868
1442	39726
1442	42857
1442	44544
1442	44646
1442	45479
1442	46911
1442	53951
1442	57571
1442	64673
1442	65965
1442	68391
1442	74560
1442	83108
1442	85676
1442	105333
1442	105335
1442	148255
1442	151444
1442	163102
1442	182624
1442	189935
1442	209615
1442	216807
1442	220986
1442	287167
1442	298741
1442	303139
1442	303140
1442	303141
1442	304951
1553	64385
1574	2805
1574	7216
1574	14308
1574	33567
1574	91133
1574	132642
1596	1945
1596	2230
1596	2836
1596	3886
1596	4708
1596	5721
1596	5892
1596	5896
1596	5960
1596	6295
1596	6533
1596	9438
1596	9439
1596	10629
1596	14384
1596	15344
1596	18434
1596	22903
1596	23085
1596	26766
1596	43672
1596	60989
1596	73212
1596	91011
1596	96450
1596	126165
1596	143464
1597	5892
1597	9336
1597	18611
1597	38725
1729	5475
1729	6779
1817	12230
1817	16242
1817	43182
1817	56581
1817	165076
1817	174832
1851	1905
1851	2805
1851	2962
1851	3043
1851	3399
1851	6227
1851	7551
1851	14797
1851	16860
1851	18114
1851	23096
1851	26626
1869	1945
1869	2743
1869	4476
1869	21677
1869	21678
1869	27342
1893	6535
1893	25850
1893	170762
1893	304951
1893	403660
1893	403661
1893	403662
1893	403663
1893	411650
1893	411651
1893	411928
1905	2230
1905	2577
1905	2805
1905	2962
1905	3043
1905	3760
1905	5475
1905	7066
1905	11523
1905	14797
1905	18114
1905	23096
1905	26626
1905	49853
1905	55062
1927	26604
1927	38719
1945	2133
1945	2566
1945	2743
1945	3374
1945	3966
1945	4059
1945	5542
1945	7465
1945	7796
1945	7979
1945	8880
1945	8881
1945	9336
1945	10745
1945	13007
1945	15556
1945	19920
1945	21765
1945	21835
1945	22159
1945	31264
1945	32350
1945	51000
1945	57554
1945	60482
1945	60742
1945	73759
1945	106919
1945	113243
1945	143464
1945	206055
1953	3093
1953	22797
1953	28700
1953	32727
1953	99095
1961	5028
1961	11635
1961	29129
1961	44064
1991	64097
1991	100231
1991	101177
2071	12110
2071	58152
2084	2134
2084	2957
2084	4961
2084	5364
2084	8548
2084	12912
2084	17387
2084	19305
2084	39446
2084	138538
2133	2743
2133	3881
2133	4708
2133	5542
2133	6005
2133	6045
2133	6734
2133	6735
2133	7702
2133	8889
2133	10745
2133	13419
2133	14703
2133	15344
2133	16305
2133	22839
2133	30057
2133	30832
2133	31437
2133	33434
2133	33942
2133	38601
2133	43672
2133	56138
2133	59748
2134	2729
2134	26162
2138	14989
2138	75894
2138	113851
2138	118135
2165	11762
2165	13824
2165	13884
2165	19974
2165	26526
2165	31016
2165	75994
2165	75998
2165	75999
2165	76000
2165	76001
2165	80792
2215	4116
2230	2797
2230	14703
2230	113872
2253	7541
2253	10695
2253	26002
2275	2566
2275	6337
2275	7207
2275	8511
2275	11505
2301	6533
2301	13076
2301	13822
2301	15954
